name,born,died,page
"BURTT, JOHN GOULSON  ",27 APRIL 1810,21 APRIL 1901),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/384
"BUSSAU, ALBERT LOUIS  ",09 JULY 1884,05 MAY 1947),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1086
"BUTLER, GLYDE ALGERNON SURTEES  ",12 SEPTEMBER 1932,18 SEPTEMBER 2000),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1087
"BUTTERLEY, MATTHEW  ",1828,29 DECEMBER 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/385
"BUTTERS, JAMES STEWART  ",19 FEBRUARY 1832,01 SEPTEMBER 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/386
"BYRNE, ROBERT  ",1821,24 MARCH 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/387
"BYRNE, MURRAY LEWIS  ",29 AUGUST 1928,07 NOVEMBER 2012),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1089
"BYRNES, PERCY THOMAS  ",28 JANUARY 1893,05 MARCH 1973),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1090
"CAIN, WILLIAM  ",21 APRIL 1831,29 OCTOBER 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1095
"CAIN, JOHN   ",19 JANUARY 1882,04 AUGUST 1957),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1092
"CAIN, JOHN   ",26 APRIL 1931,23 DECEMBER 2019),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1093
"CALDWELL, ROBERT  ",25 MARCH 1815,07 AUGUST 1887),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/388
"CALLISTER, VALERIE JOY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1096
"CALVERT, ROBERT BROWN  ",03 JUNE 1852,15 MAY 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/389
"CAMERON, DANIEL  ",20 JULY 1819,03 JANUARY 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/390
"CAMERON, EWEN HUGH  ",24 JULY 1831,27 SEPTEMBER 1915),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/392
"CAMERON, DONALD  ",1848,10 AUGUST 1888),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/391
"CAMERON, EWEN  ",10 APRIL 1860,30 MARCH 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/232
"CAMERON, JAMES  ",1846,13 JULY 1922),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1099
"CAMERON, ALLAN FRANCIS  ",11 APRIL 1868,28 DECEMBER 1923),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1088
"CAMERON, FINLAY ARTHUR  ",22 JUNE 1886,21 FEBRUARY 1959),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1098
"CAMERON, EWEN PAUL  ",15 JANUARY 1891,18 JANUARY 1964),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1097
"CAMERON, ROBERT GRAHAM  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/182
"CAMPBELL, WILLIAM  ",17 JULY 1810,20 AUGUST 1896),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/977
"CAMPBELL, COLIN  ",21 JANUARY 1817,28 NOVEMBER 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/393
"CAMPBELL, DANIEL STODHART  ",1812,28 APRIL 1875),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/394
"CAMPBELL, RONALD  ",1831,09 JULY 1905),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/396
"CAMPBELL, JAMES  ",25 MAY 1845,16 SEPTEMBER 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/397
"CAMPBELL, JAMES CALLENDER  ",17 JULY 1838,09 FEBRUARY 1916),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/395
"CAMPBELL, HUGH JOHN MUNRO  ",1854,20 OCTOBER 1921),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1101
"CAMPBELL, WILLIAM MONTGOMERY  ",10 JUNE 1920,09 JUNE 1996),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1102
"CAMPBELL, CHRISTINE MARY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/187
"CARBINES, ELAINE CAFFERTY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/196
"CARLI, CARLO  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/191
"CARLING-JENKINS, RACHEL  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/123
"CARLISLE, JOHN JOSEPH  ",1863,18 JUNE 1929),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1030
"CARPENTER, THOMAS  ",09 FEBRUARY 1832,17 OCTOBER 1882),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/398
"CARR, JAMES GATTIE  ",14 DECEMBER 1817,13 SEPTEMBER 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/399
"CARROLL, MICHAEL BYRNE  ",1832,18 FEBRUARY 1911),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/400
"CARTER, GODFREY DOWNES  ",15 OCTOBER 1830,29 APRIL 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/401
"CARTER, WILLIAM THOMAS  ",05 AUGUST 1846,FEBRUARY 1907),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/402
"CARTER, JOHN CHARLES  ",27 NOVEMBER 1848,10 JANUARY 1916),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1031
"CASEY, JAMES JOSEPH  ",25 DECEMBER 1831,05 APRIL 1913),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/403
"CASSELL, JAMES HORATIO NELSON  ",17 DECEMBER 1814,21 NOVEMBER 1853),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/404
"CATHIE, JOHN  ",14 JUNE 1813,13 MAY 1873),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/405
"CATHIE, IAN ROBERT  ",24 OCTOBER 1932,25 OCTOBER 2017),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1103
"CHAMBERLAIN, BRUCE ANTHONY  ",09 AUGUST 1939,01 OCTOBER 2005),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1104
"CHAMBERS, JOAN HEYWOOD  ",18 MARCH 1930,29 AUGUST 2016),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1105
"CHAMP, WILLIAM THOMAS NAPIER  ",15 APRIL 1808,25 AUGUST 1892),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/406
"CHANDLER, ALFRED ELLIOTT  ",01 JULY 1873,12 FEBRUARY 1935),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1107
"CHANDLER, GILBERT LAWRENCE  ",29 AUGUST 1903,08 APRIL 1974),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1108
"CHAPMAN, HENRY SAMUEL  ",21 JULY 1803,27 DECEMBER 1881),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/407
"CHAPMAN, JAMES  ",15 OCTOBER 1816,13 FEBRUARY 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/408
"CHARLTON, JOHN THOMPSON  ",21 JUNE 1826,10 DECEMBER 1878),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/409
"CHATHAM, JOHN  ",16 OCTOBER 1866,28 FEBRUARY 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1106
"CHEETHAM, JAMES  ",12 MAY 1833,28 JUNE 1890),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/410
"CHILDERS, HUGH CULLING EARDLEY  ",25 JUNE 1827,29 JANUARY 1896),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/411
"CHIRNSIDE, JOHN PERCY  ",03 OCTOBER 1865,06 JANUARY 1944),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/412
"CHRISTIE, VERNON HOWARD COLVILLE  ",17 DECEMBER 1909,04 NOVEMBER 1994),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1109
"CLAREY, PERCY JAMES  ",20 JANUARY 1890,17 MAY 1960),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1110
"CLAREY,  ARTHUR  ",15 MARCH 1897,09 MAY 1972),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1111
"CLARK, ALFRED THOMAS  ",11 AUGUST 1844,19 MAY 1888),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/413
"CLARK, ROBERT  ",08 NOVEMBER 1841,24 APRIL 1883),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/414
"CLARK, ROBERT  ",11 JANUARY 1830,12 FEBRUARY 1890),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/415
"CLARK, WILLIAM MCGREGOR  ",APRIL 1844,29 JANUARY 1900),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/416
"CLARK, ROBERT WILLIAM  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/9
"CLARKE, ANDREW  ",27 JULY 1824,29 MARCH 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/418
"CLARKE, WILLIAM JOHN TURNER  ",20 APRIL 1805,13 JANUARY 1874),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/421
"CLARKE, WILLIAM  ",1826,21 JANUARY 1881),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/419
"CLARKE, WILLIAM JOHN  ",31 MARCH 1831,15 MAY 1897),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/420
"CLARKE, RUPERT TURNER HAVELOCK  ",16 MARCH 1865,25 DECEMBER 1926),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/417
"CLARKE,  RUSSELL  ",31 MARCH 1876,14 MAY 1954),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1118
"CLARKE, FRANK GRENVILLE  ",14 MARCH 1879,13 FEBRUARY 1955),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1114
"CLARKE, MICHAEL ALASTAIR  ",28 SEPTEMBER 1915,11 AUGUST 2002),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1115
"CLEARY, EDWARD FRANCIS  ",1878,24 AUGUST 1936),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1112
"CLOUGH, LUKE JAMES  ",04 JULY 1878,03 DECEMBER 1956),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1113
"COATES, LESLIE ROBERT  ",09 JUNE 1898,20 FEBRUARY 1976),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1119
"COCHRANE, LESLIE JAMES  ",29 AUGUST 1894,25 APRIL 1972),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1120
"COGHILL, KENNETH ALASTAIR  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1122
"COHEN, EDWARD  ",1822,13 APRIL 1877),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/422
"COHEN, HENRY ISAAC   ",21 FEBRUARY 1872,20 DECEMBER 1942),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1125
"COHEN, HAROLD EDWARD  ",25 NOVEMBER 1881,29 OCTOBER 1946),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1123
"COLE, GEORGE WARD  ",15 NOVEMBER 1793,26 APRIL 1879),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/423
"COLE, NEIL DONALD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/144
"COLECHIN, WILLIAM HENRY  ",04 OCTOBER 1849,12 JULY 1920),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1124
"COLEMAN, PATRICK LESLIE  ",21 JANUARY 1895,06 OCTOBER 1974),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1126
"COLEMAN, CHARLES GEOFFREY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/240
"COLLINS, PETER CHARLES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1127
"COMRIE, THOMAS  ",FEBRUARY 1834,04 AUGUST 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/424
"CONNARD, GEOFFREY PHILLIP  ",13 OCTOBER 1925,27 JANUARY 2013),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1128
"CONNELL, PHILLIP PATRICK  ",02 NOVEMBER 1900,06 JUNE 1980),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1121
"CONNOR, JOSEPH HENRY  ",06 APRIL 1834,24 JUNE 1899),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/425
"COOK, WILLIAM MITCHELL  ",19 DECEMBER 1821,09 DECEMBER 1886),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/427
"COOK, JAMES NEWTON HAXTON HUME  ",23 SEPTEMBER 1866,07 AUGUST 1942),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/426
"COOK, ARTHUR ERNEST  ",06 SEPTEMBER 1883,10 APRIL 1945),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1131
"COOK, FREDERICK ALBERT  ",22 MARCH 1883,23 DECEMBER 1971),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1132
"COOKE, SAMUEL WINTER  ",13 MARCH 1847,26 JUNE 1929),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/428
"COOKSON, GEORGE ARTHUR  ",06 OCTOBER 1859,20 MAY 1930),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1133
"COOPER, THOMAS  ",04 OCTOBER 1832,20 OCTOBER 1900),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/429
"COOPER, ATHOL SCOTT  ",24 OCTOBER 1892,21 DECEMBER 1970),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1134
"COOPER, ROBERT FITZGERALD   ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/221
"COOTE, ANDREA  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/222
"COPE, EDWARD  ",23 MARCH 1811,13 OCTOBER 1871),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/430
"COPE, THOMAS  ",25 JULY 1813,03 APRIL 1882),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/431
"COPPIN, GEORGE SELTH  ",08 APRIL 1819,14 MARCH 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/432
"CORRIGAN, THOMAS PATRICK  ",17 FEBRUARY 1884,19 JANUARY 1952),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/241
"CORRIGAN, STANISLAUS TERENCE  ",17 OCTOBER 1916,07 JUNE 1964),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1135
"COSTELLO, PATRICK  ",1824,17 OCTOBER 1896),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/433
"COTTER, EDMUND JOHN  ",30 MARCH 1866,12 SEPTEMBER 1947),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1043
"COUTTS, DAVID  ",JUNE 1843,03 MAY 1897),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/434
"COVER, IAN JAMES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/225
"COWELL, JOSHUA  ",02 JUNE 1808,21 JULY 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/435
"COWIE, JAMES  ",09 JANUARY 1809,14 NOVEMBER 1892),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/436
"COX, GEORGE HENRY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1136
"COXSEDGE, JOAN MARJORIE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1137
"COYLE, ERNEST AUGUSTINE  ",02 MARCH 1874,31 AUGUST 1943),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1138
"CRABB, STEVEN MARSHALL  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1139
"CRAIGE, GEOFFREY RONALD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/223
"CRAVEN, ALBERT WILLIAM  ",30 JUNE 1855,28 NOVEMBER 1913),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/437
"CRAWFORD, GEORGE ROBERT  ",13 JANUARY 1926,07 AUGUST 2012),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/129
"CREAN, FRANK   ",28 FEBRUARY 1916,02 DECEMBER 2008),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1140
"CRELLIN, MAXWELL LESLIE  ",16 JULY 1933,05 MAY 2020),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1143
"CREMEAN, HERBERT MICHAEL  ",08 MAY 1900,24 MAY 1945),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1146
"CREMEAN, JOHN LAWRENCE  ",26 JANUARY 1902,11 AUGUST 1982),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1147
"CRESWICK, HENRY  ",13 APRIL 1824,24 OCTOBER 1892),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/438
"CREWS, JOHN BRANSCOMBE  ",13 NOVEMBER 1815,29 SEPTEMBER 1905),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/439
"CRICK,  ROY  ",03 APRIL 1904,19 AUGUST 1966),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1141
"CRISP, PETER LAURENCE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/58
"CROCKETT, WILLIAM PAUL  ",1864,25 JULY 1932),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1148
"CROFTS, ARCHIBALD  ",09 SEPTEMBER 1875,20 MAY 1942),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1142
"CROKE, JAMES  ",1789,10 MARCH 1857),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/440
"CROOKE, EDWARD JOLLEY  ",07 JANUARY 1861,23 OCTOBER 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/441
"CROZIER, DIGBY GLEN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1149
"CRUIKSHANK, ANDREW ROSE  ",1820,10 FEBRUARY 1859),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/442
"CRUTCHFIELD, MICHAEL PAUL  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1699
"CULLEN, JOHN  ",APRIL 1856,17 MARCH 1916),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/275
"CULPIN, JOHN ALBERT  ",04 OCTOBER 1927,02 SEPTEMBER 2014),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1116
"CUMMING, JOHN  ",04 AUGUST 1830,20 SEPTEMBER 1883),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/443
"CUMMING, THOMAS FORREST  ",26 SEPTEMBER 1842,30 JULY 1918),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/444
"CUMMING, WILLIAM RONALD  ",25 JANUARY 1886,30 OCTOBER 1951),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1151
