name,born,died,page
"BROWNBILL, WILLIAM  ",19 JANUARY 1864,29 APRIL 1938),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1077
"BROWNBILL, FANNY EILEEN  ",28 APRIL 1890,10 OCTOBER 1948),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/228
"BRUMBY, JOHN MANSFIELD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/218
"BRUNTON, THOMAS  ",25 JUNE 1831,07 SEPTEMBER 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/378
"BUBB, CLIVE  ",06 NOVEMBER 1936,11 OCTOBER 2004),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1082
"BUCHANAN, JAMES  ",FEBRUARY 1827,11 SEPTEMBER 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/379
"BUCHANAN, ROSALYN   ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1700
"BUCKINGHAM, WILLIAM JOHN  ",04 DECEMBER 1890,03 JUNE 1964),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1027
"BUCKINGHAM, HELEN ELIZABETH  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1702
"BUCKLEY, RAY FRANCIS  ",11 FEBRUARY 1912,27 JUNE 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1083
"BUNNY, BRICE FREDERICK  ",01 MARCH 1820,02 JUNE 1885),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/380
"BURGIN, CECIL WILLIAM JOHN  ",19 MAY 1923,01 NOVEMBER 2003),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1085
"BURKE, LEONIE THERESE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/179
"BURNLEY, WILLIAM BUST  ",02 APRIL 1813,21 JUNE 1860),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/381
"BURROWES, ROBERT  ",1825,16 SEPTEMBER 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/382
"BURTON, JOHN BALFOUR  ",DECEMBER 1842,JANUARY 1843,https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/383
