name,page,house,elected,electorate,retired
"Farina, Hon Adele",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/EFA517669794BCD748257C75000D47B5?OpenDocument#current,MLC,22 May 2001,South West,
"Farrer, Ms Josephine (Josie)",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/870BA94334C17B2748257CB600293107?OpenDocument#current,MLA,9 March 2013,Kimberley,
"Fawcett, Theodore",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/26E1370BA3C5E2E848257E5E0004CEF5?OpenDocument#current,MLC,12 May 1886,Murray and Williams,1889
"Fels, Hon Anthony James",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/5F8B7343664DBA93482577E50028A5E4?OpenDocument#current,MLC,22 May 2005,Agricultural,2009
"Ferguson, John Maxwell",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/356125331B9BB079482577E50028A5E5?OpenDocument#current,MLA,22 August 1903,North Fremantle,1904
"Ferguson, Hon John (Jock) Kilday",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F61C78ED0A85B48D48257B120011E3C7?OpenDocument#current,MLC,22 May 2009,East Metropolitan,2010
"Ferguson, Percy Douglas",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/3C32EFF4D4D40952482577E50028A5E6?OpenDocument#current,MLA,26 March 1927,Moore,1939
"Ferguson, Hon Valma (Val) Eileen",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D182C7E748BA6457482577E50028A5E7?OpenDocument#current,MLC,2 February 1993,East Metropolitan,1997
"Ferry, Victor Jasper",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D8112C7C740B065A482577E50028A5E8?OpenDocument#current,MLC,22 May 1965,South-West,1987
"Fischer, Hon John Duncombe",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/727BF1E80FB89C03482577E50028A5E9?OpenDocument#current,MLC,22 May 2001,Mining and Pastoral,2005
"Fletcher, Harry Arthur",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/34DBD6BCF8618795482577E50028A5EA?OpenDocument#current,MLA,21 March 1959,Fremantle,1977
"Foley, George James",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A0213576DD78F84F482577E50028A5EB?OpenDocument#current,MLA,3 October 1911,Mount Leonora,1920
"Folkard, Mr Mark James",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/3C7C4E74D47B842E482580E5002585FB?OpenDocument#current,MLA,11 March 2017,Burns Beach,
"Ford, Hon Jonathan (Jon) Robert",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C2A312589773CD59482577E50028A5EC?OpenDocument#current,MLC,10 February 2001,Mining and Pastoral,2013
"Forrest, Alexander",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/14FB789F35AE242E482577E50028A5ED?OpenDocument#current,MLA,1 February 1887,West Kimberley,1901
"Forrest, David",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/96F0553FE32DAE09482577E50028A5EE?OpenDocument#current,MLA,24 April 1900,Ashburton,1901
"Forrest, John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/6473855D982417B0482577E50028A5F0?OpenDocument#current,MLA,3 December 1890,Bunbury,1901
"Forrest, Robert Mervyn",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/10DBBA576BD7919B482577E50028A5EF?OpenDocument#current,MLC,22 May 1946,North,1952
